Country/Territory,Region,C/T?,Edition,Status,PR Rating,CL Rating,A,B,C,Add Q,Add A,PR,D,E,F,G,CL,Total
Abkhazia,Eurasia,t,2024,PF,5,5,5,8,4,0,N/A,17,8,5,4,5,22,39
Afghanistan,Asia,c,2024,NF,7,7,0,0,1,0,N/A,1,0,3,0,2,5,6
Albania,Europe,c,2024,PF,3,3,9,12,7,0,N/A,28,13,8,10,9,40,68
Algeria,Africa,c,2024,NF,6,5,3,4,3,0,N/A,10,6,3,6,7,22,32
Andorra,Europe,c,2024,F,1,1,12,15,11,0,N/A,38,14,11,15,15,55,93
Angola,Africa,c,2024,NF,6,5,3,5,2,0,N/A,10,7,3,5,3,18,28
Antigua and Barbuda,Americas,c,2024,F,2,2,12,13,8,0,N/A,33,15,10,14,13,52,85
Argentina,Americas,c,2024,F,2,2,11,16,8,0,N/A,35,15,11,10,14,50,85
Armenia,Eurasia,c,2024,PF,4,4,7,10,6,0,N/A,23,9,8,5,9,31,54
Australia,Asia,c,2024,F,1,1,12,15,11,0,N/A,38,15,12,15,15,57,95
Austria,Europe,c,2024,F,1,1,12,15,10,0,N/A,37,14,12,15,15,56,93
Azerbaijan,Eurasia,c,2024,NF,7,7,0,2,0,2,N/A,0,2,1,0,4,7,7
Bahamas,Americas,c,2024,F,1,1,12,16,10,0,N/A,38,15,12,13,13,53,91
Bahrain,Middle East,c,2024,NF,7,6,2,0,2,2,N/A,2,2,1,1,6,10,12
Bangladesh,Asia,c,2024,PF,5,5,4,7,4,0,N/A,15,6,5,5,9,25,40
Barbados,Americas,c,2024,F,1,1,12,15,10,0,N/A,37,16,12,14,15,57,94
Belarus,Eurasia,c,2024,NF,7,7,0,1,1,0,N/A,2,1,0,0,5,6,8
Belgium,Europe,c,2024,F,1,1,12,16,11,0,N/A,39,15,12,15,15,57,96
Belize,Americas,c,2024,F,2,1,12,14,8,0,N/A,34,16,11,13,13,53,87
Benin,Africa,c,2024,PF,4,3,4,10,5,0,N/A,19,14,9,9,10,42,61
Bhutan,Asia,c,2024,PF,2,4,10,13,8,1,N/A,30,10,5,9,9,33,63
Bolivia,Americas,c,2024,PF,3,3,10,10,7,0,N/A,27,14,9,6,10,39,66
Bosnia and Herzegovina,Europe,c,2024,PF,5,4,5,8,4,0,N/A,17,10,7,7,10,34,51
Botswana,Africa,c,2024,F,3,2,10,10,8,0,N/A,28,12,10,11,11,44,72
Brazil,Americas,c,2024,F,2,3,10,13,7,0,N/A,30,14,9,8,11,42,72
Brunei,Asia,c,2024,NF,6,5,0,3,4,0,N/A,7,6,3,5,7,21,28
Bulgaria,Europe,c,2024,F,2,2,10,14,8,0,N/A,32,13,11,10,12,46,78
Burkina Faso,Africa,c,2024,NF,7,5,0,2,1,0,N/A,3,7,7,4,6,24,27
Burundi,Africa,c,2024,NF,7,6,1,3,0,0,N/A,4,4,1,1,4,10,14
Cabo Verde,Africa,c,2024,F,1,1,12,16,10,0,N/A,38,16,11,14,13,54,92
Cambodia,Asia,c,2024,NF,7,5,0,2,2,0,N/A,4,7,3,3,6,19,23
Cameroon,Africa,c,2024,NF,6,6,1,3,2,0,N/A,6,4,2,0,3,9,15
Canada,Americas,c,2024,F,1,1,12,16,11,0,N/A,39,15,12,15,16,58,97
Central African Republic,Africa,c,2024,NF,7,7,1,1,0,1,N/A,1,3,1,0,0,4,5
Chad,Africa,c,2024,NF,7,6,0,1,0,0,N/A,1,6,4,1,3,14,15
Chile,Americas,c,2024,F,1,1,12,15,11,0,N/A,38,16,12,13,15,56,94
China,Asia,c,2024,NF,7,6,0,0,1,3,N/A,-2,1,2,2,6,11,9
Colombia,Americas,c,2024,F,2,3,10,13,8,0,N/A,31,13,6,9,11,39,70
Comoros,Africa,c,2024,PF,5,4,5,7,4,0,N/A,16,8,6,6,6,26,42
Congo (Brazzaville),Africa,c,2024,NF,7,6,0,2,0,0,N/A,2,6,2,1,6,15,17
Congo (Kinshasa),Africa,c,2024,NF,7,6,1,2,1,0,N/A,4,7,3,1,4,15,19
Costa Rica,Americas,c,2024,F,1,1,12,15,11,0,N/A,38,16,11,13,13,53,91
Cote d'Ivoire,Africa,c,2024,PF,4,4,6,9,4,0,N/A,19,10,7,6,7,30,49
Crimea,Eurasia,t,2024,NF,7,7,0,0,0,2,N/A,-2,0,1,0,3,4,2
Croatia,Europe,c,2024,F,2,2,12,14,8,0,N/A,34,13,12,11,13,49,83
Cuba,Americas,c,2024,NF,7,6,0,0,1,0,N/A,1,4,0,1,6,11,12
Cyprus,Europe,c,2024,F,1,1,12,15,11,0,N/A,38,15,11,15,13,54,92
Czech Republic,Europe,c,2024,F,1,1,12,15,9,0,N/A,36,16,12,15,15,58,94
Denmark,Europe,c,2024,F,1,1,12,16,12,0,N/A,40,16,12,14,15,57,97
Djibouti,Africa,c,2024,NF,7,5,2,3,0,0,N/A,5,6,3,4,6,19,24
Dominica,Americas,c,2024,F,1,1,11,16,10,0,N/A,37,15,11,15,15,56,93
Dominican Republic,Americas,c,2024,PF,3,3,9,11,7,0,N/A,27,14,10,8,9,41,68
Eastern Donbas,Eurasia,t,2024,NF,7,7,0,0,0,1,N/A,-1,1,0,0,3,4,3
Ecuador,Americas,c,2024,PF,3,3,11,12,6,0,N/A,29,12,9,7,10,38,67
Egypt,Africa,c,2024,NF,6,6,2,2,2,0,N/A,6,3,1,2,6,12,18
El Salvador,Americas,c,2024,PF,4,4,9,10,2,0,N/A,21,11,7,4,10,32,53
Equatorial Guinea,Africa,c,2024,NF,7,7,0,0,0,0,N/A,0,2,0,0,3,5,5
Eritrea,Africa,c,2024,NF,7,7,0,0,1,0,N/A,1,1,0,0,1,2,3
Estonia,Europe,c,2024,F,1,1,12,15,11,0,N/A,38,16,12,14,15,57,95
Eswatini,Africa,c,2024,NF,7,6,0,1,0,0,N/A,1,5,2,4,5,16,17
Ethiopia,Africa,c,2024,NF,6,6,4,4,4,2,N/A,10,4,2,1,3,10,20
Fiji,Asia,c,2024,PF,3,3,8,11,8,0,N/A,27,14,8,7,10,39,66
Finland,Europe,c,2024,F,1,1,12,16,12,0,N/A,40,16,12,16,16,60,100
France,Europe,c,2024,F,1,2,12,15,11,0,N/A,38,14,10,13,14,51,89
Gabon,Africa,c,2024,NF,7,5,0,2,0,0,N/A,2,7,3,3,5,18,20
Gaza Strip,Middle East,t,2024,NF,7,7,0,2,1,0,N/A,3,3,1,0,1,5,8
Georgia,Eurasia,c,2024,PF,4,3,7,8,7,0,N/A,22,9,7,8,12,36,58
Germany,Europe,c,2024,F,1,1,12,15,12,0,N/A,39,14,11,14,15,54,93
Ghana,Africa,c,2024,F,2,2,12,13,10,0,N/A,35,14,10,10,11,45,80
Greece,Europe,c,2024,F,2,2,12,15,8,0,N/A,35,13,12,11,14,50,85
Grenada,Americas,c,2024,F,1,2,11,16,10,0,N/A,37,15,11,13,13,52,89
Guatemala,Americas,c,2024,PF,5,4,6,8,3,0,N/A,17,10,6,5,8,29,46
Guinea,Africa,c,2024,NF,6,5,0,5,2,0,N/A,7,9,4,4,6,23,30
Guinea-Bissau,Africa,c,2024,PF,5,4,7,8,2,0,N/A,17,10,6,5,5,26,43
Guyana,Americas,c,2024,F,2,3,9,13,8,0,N/A,30,15,11,8,9,43,73
Haiti,Americas,c,2024,NF,6,5,3,5,3,0,N/A,11,8,4,3,4,19,30
Honduras,Americas,c,2024,PF,4,4,8,9,5,0,N/A,22,9,5,4,8,26,48
Hong Kong,Asia,t,2024,PF,6,4,0,4,5,0,N/A,9,7,3,9,13,32,41
Hungary,Europe,c,2024,PF,3,3,7,11,6,0,N/A,24,10,8,10,13,41,65
Iceland,Europe,c,2024,F,1,1,12,15,10,0,N/A,37,15,12,15,15,57,94
India,Asia,c,2024,PF,2,4,12,12,9,0,N/A,33,9,7,8,9,33,66
Indian Kashmir,Asia,t,2024,NF,6,5,1,3,2,0,N/A,6,6,3,4,7,20,26
Indonesia,Asia,c,2024,PF,3,4,11,12,6,0,N/A,29,9,6,5,8,28,57
Iran,Middle East,c,2024,NF,7,7,2,2,0,0,N/A,4,0,1,2,4,7,11
Iraq,Middle East,c,2024,NF,5,6,8,7,2,1,N/A,16,4,5,1,4,14,30
Ireland,Europe,c,2024,F,1,1,12,16,11,0,N/A,39,16,12,14,16,58,97
Israel,Middle East,c,2024,F,2,3,12,13,9,0,N/A,34,12,9,8,11,40,74
Italy,Europe,c,2024,F,1,1,12,14,10,0,N/A,36,15,12,13,14,54,90
Jamaica,Americas,c,2024,F,2,2,11,13,9,0,N/A,33,15,11,10,11,47,80
Japan,Asia,c,2024,F,1,1,12,16,12,0,N/A,40,15,12,15,14,56,96
Jordan,Middle East,c,2024,NF,6,5,2,6,3,0,N/A,11,6,2,7,7,22,33
Kazakhstan,Eurasia,c,2024,NF,7,5,1,3,1,0,N/A,5,4,2,4,8,18,23
Kenya,Africa,c,2024,PF,4,4,8,9,5,0,N/A,22,10,7,6,7,30,52
Kiribati,Asia,c,2024,F,1,1,12,15,10,0,N/A,37,16,12,12,13,53,90
Kosovo,Europe,c,2024,PF,3,4,9,13,6,0,N/A,28,10,8,6,8,32,60
Kuwait,Middle East,c,2024,PF,5,5,3,7,4,0,N/A,14,6,5,7,6,24,38
Kyrgyzstan,Eurasia,c,2024,NF,7,5,2,3,0,1,N/A,4,10,4,2,7,23,27
Laos,Asia,c,2024,NF,7,6,0,0,2,0,N/A,2,3,0,2,6,11,13
Latvia,Europe,c,2024,F,1,2,12,15,10,0,N/A,37,14,12,11,14,51,88
Lebanon,Middle East,c,2024,PF,5,4,4,8,1,0,N/A,13,10,8,5,6,29,42
Lesotho,Africa,c,2024,F,2,3,11,13,6,0,N/A,30,12,7,8,9,36,66
Liberia,Africa,c,2024,PF,2,4,11,13,6,0,N/A,30,11,8,6,9,34,64
Libya,Africa,c,2024,NF,7,6,0,1,0,0,N/A,1,3,3,0,2,8,9
Liechtenstein,Europe,c,2024,F,2,1,10,13,10,0,N/A,33,16,12,14,15,57,90
Lithuania,Europe,c,2024,F,1,2,12,16,10,0,N/A,38,15,11,11,14,51,89
Luxembourg,Europe,c,2024,F,1,1,12,16,10,0,N/A,38,16,12,15,16,59,97
Madagascar,Africa,c,2024,PF,3,4,8,9,7,0,N/A,24,11,8,7,8,34,58
Malawi,Africa,c,2024,PF,3,3,9,12,8,0,N/A,29,13,8,9,7,37,66
Malaysia,Asia,c,2024,PF,4,4,6,10,6,0,N/A,22,8,6,8,9,31,53
Maldives,Asia,c,2024,PF,4,5,8,8,5,0,N/A,21,3,6,7,7,23,44
Mali,Africa,c,2024,NF,6,5,1,3,2,0,N/A,6,7,5,4,4,20,26
Malta,Europe,c,2024,F,2,2,12,14,9,0,N/A,35,14,12,12,14,52,87
Marshall Islands,Asia,c,2024,F,1,1,12,16,10,0,N/A,38,16,11,15,13,55,93
Mauritania,Africa,c,2024,PF,5,5,6,5,4,0,N/A,15,9,5,5,5,24,39
Mauritius,Africa,c,2024,F,2,2,11,14,10,0,N/A,35,14,11,13,12,50,85
Mexico,Americas,c,2024,PF,3,4,9,13,5,0,N/A,27,12,7,5,9,33,60
Micronesia,Asia,c,2024,F,1,1,12,15,10,0,N/A,37,16,11,15,13,55,92
Moldova,Eurasia,c,2024,PF,3,3,9,12,5,0,N/A,26,12,8,6,9,35,61
Monaco,Europe,c,2024,F,3,1,8,9,8,0,N/A,25,16,12,14,15,57,82
Mongolia,Asia,c,2024,F,1,2,11,16,9,0,N/A,36,14,11,11,12,48,84
Montenegro,Europe,c,2024,PF,3,3,8,12,7,0,N/A,27,12,9,10,11,42,69
Morocco,Africa,c,2024,PF,5,5,5,5,3,0,N/A,13,7,5,5,7,24,37
Mozambique,Africa,c,2024,PF,5,4,3,7,4,0,N/A,14,9,5,7,9,30,44
Myanmar,Asia,c,2024,NF,7,6,0,3,1,4,N/A,0,3,2,0,3,8,8
Nagorno-Karabakh,Eurasia,t,2024,NF,7,7,0,0,0,3,N/A,-3,0,0,0,0,0,-3
Namibia,Africa,c,2024,F,2,2,11,12,8,0,N/A,31,14,11,11,10,46,77
Nauru,Asia,c,2024,F,2,3,12,14,8,0,N/A,34,13,9,9,12,43,77
Nepal,Asia,c,2024,PF,3,4,11,11,6,0,N/A,28,10,8,8,8,34,62
Netherlands,Europe,c,2024,F,1,1,12,16,11,0,N/A,39,16,12,15,15,58,97
New Zealand,Asia,c,2024,F,1,1,12,16,12,0,N/A,40,16,12,15,16,59,99
Nicaragua,Americas,c,2024,NF,7,6,0,2,2,0,N/A,4,2,2,2,6,12,16
Niger,Africa,c,2024,PF,6,4,0,4,2,0,N/A,6,9,6,6,6,27,33
Nigeria,Africa,c,2024,PF,4,5,6,9,5,0,N/A,20,9,7,4,4,24,44
North Korea,Asia,c,2024,NF,7,7,0,0,0,0,N/A,0,0,0,0,3,3,3
North Macedonia,Europe,c,2024,PF,3,3,9,12,7,0,N/A,28,12,8,9,10,39,67
Northern Cyprus,Europe,t,2024,F,3,2,9,12,6,0,N/A,27,14,11,13,11,49,76
Norway,Europe,c,2024,F,1,1,12,16,11,0,N/A,39,16,12,15,16,59,98
Oman,Middle East,c,2024,NF,6,5,2,2,2,0,N/A,6,5,4,4,5,18,24
Pakistan,Asia,c,2024,PF,5,5,5,5,4,0,N/A,14,6,6,3,6,21,35
Pakistani Kashmir,Asia,t,2024,NF,6,5,4,4,3,2,N/A,9,6,4,4,6,20,29
Palau,Asia,c,2024,F,1,1,12,15,10,0,N/A,37,16,11,15,13,55,92
Panama,Americas,c,2024,F,2,2,12,15,8,0,N/A,35,15,11,10,12,48,83
Papua New Guinea,Asia,c,2024,PF,4,3,6,13,3,0,N/A,22,14,10,7,8,39,61
Paraguay,Americas,c,2024,PF,3,3,9,11,6,0,N/A,26,12,8,7,10,37,63
Peru,Americas,c,2024,PF,3,3,10,12,5,0,N/A,27,15,6,8,10,39,66
Philippines,Asia,c,2024,PF,3,4,9,10,6,0,N/A,25,11,7,5,10,33,58
Poland,Europe,c,2024,F,2,2,9,16,8,0,N/A,33,13,10,10,14,47,80
Portugal,Europe,c,2024,F,1,1,12,16,11,0,N/A,39,16,12,14,15,57,96
Qatar,Middle East,c,2024,NF,6,5,2,2,3,0,N/A,7,7,2,5,4,18,25
Romania,Europe,c,2024,F,2,2,12,14,9,0,N/A,35,13,11,12,12,48,83
Russia,Eurasia,c,2024,NF,7,6,0,3,1,0,N/A,4,1,2,2,4,9,13
Rwanda,Africa,c,2024,NF,6,6,2,2,4,0,N/A,8,3,2,3,7,15,23
Samoa,Asia,c,2024,F,2,2,9,14,9,0,N/A,32,14,12,14,12,52,84
San Marino,Europe,c,2024,F,1,1,12,15,12,0,N/A,39,15,12,15,16,58,97
Sao Tome and Principe,Africa,c,2024,F,2,2,11,15,9,0,N/A,35,15,11,12,11,49,84
Saudi Arabia,Middle East,c,2024,NF,7,7,0,0,1,0,N/A,1,2,0,3,2,7,8
Senegal,Africa,c,2024,PF,3,3,9,11,8,0,N/A,28,13,7,8,11,39,67
Serbia,Europe,c,2024,PF,4,3,5,9,4,0,N/A,18,11,7,9,12,39,57
Seychelles,Africa,c,2024,F,2,2,12,13,9,0,N/A,34,14,9,11,11,45,79
Sierra Leone,Africa,c,2024,PF,3,3,7,11,6,0,N/A,24,12,5,9,10,36,60
Singapore,Asia,c,2024,PF,4,4,4,8,7,0,N/A,19,7,3,7,12,29,48
Slovakia,Europe,c,2024,F,1,1,12,15,10,0,N/A,37,15,12,12,14,53,90
Slovenia,Europe,c,2024,F,1,1,12,16,11,0,N/A,39,15,12,15,15,57,96
Solomon Islands,Asia,c,2024,F,3,2,8,13,7,0,N/A,28,14,10,11,12,47,75
Somalia,Africa,c,2024,NF,7,7,0,2,0,0,N/A,2,3,3,0,0,6,8
Somaliland,Africa,t,2024,PF,5,4,3,10,4,0,N/A,17,8,5,7,6,26,43
South Africa,Africa,c,2024,F,2,2,12,13,8,0,N/A,33,15,12,9,10,46,79
South Korea,Asia,c,2024,F,2,2,11,13,9,0,N/A,33,14,11,12,13,50,83
South Ossetia,Eurasia,t,2024,NF,7,6,3,2,0,2,N/A,3,3,2,1,3,9,12
South Sudan,Africa,c,2024,NF,7,7,0,1,0,4,N/A,-3,2,2,0,0,4,1
Spain,Europe,c,2024,F,1,1,12,16,9,0,N/A,37,14,11,13,15,53,90
Sri Lanka,Asia,c,2024,PF,4,4,9,9,5,1,N/A,22,9,8,7,8,32,54
St. Kitts and Nevis,Americas,c,2024,F,2,1,10,15,10,0,N/A,35,16,12,13,13,54,89
St. Lucia,Americas,c,2024,F,1,1,11,16,11,0,N/A,38,15,12,13,14,54,92
St. Vincent and the Grenadines,Americas,c,2024,F,1,1,11,15,10,0,N/A,36,15,12,13,14,54,90
Sudan,Africa,c,2024,NF,7,6,0,0,0,3,N/A,-3,5,1,0,3,9,6
Suriname,Americas,c,2024,F,2,2,11,14,9,0,N/A,34,15,11,9,10,45,79
Sweden,Europe,c,2024,F,1,1,12,16,12,0,N/A,40,16,12,15,16,59,99
Switzerland,Europe,c,2024,F,1,1,12,15,12,0,N/A,39,15,12,15,15,57,96
Syria,Middle East,c,2024,NF,7,7,0,0,0,3,N/A,-3,3,0,0,1,4,1
Taiwan,Asia,c,2024,F,1,1,12,15,11,0,N/A,38,16,11,15,14,56,94
Tajikistan,Eurasia,c,2024,NF,7,7,0,0,0,0,N/A,0,0,1,0,4,5,5
Tanzania,Africa,c,2024,PF,5,5,3,5,4,0,N/A,12,7,5,4,8,24,36
Thailand,Asia,c,2024,PF,5,5,3,6,3,0,N/A,12,6,3,5,10,24,36
The Gambia,Africa,c,2024,PF,4,4,8,9,5,0,N/A,22,9,6,7,6,28,50
Tibet,Asia,t,2024,NF,7,7,0,0,1,3,N/A,-2,0,0,0,2,2,0
Timor-Leste,Asia,c,2024,F,2,3,11,14,8,0,N/A,33,14,8,8,9,39,72
Togo,Africa,c,2024,PF,5,4,4,6,5,0,N/A,15,9,5,6,7,27,42
Tonga,Asia,c,2024,F,2,2,9,14,8,0,N/A,31,14,11,12,13,50,81
Transnistria,Eurasia,t,2024,NF,7,6,1,3,1,0,N/A,5,4,1,2,5,12,17
Trinidad and Tobago,Americas,c,2024,F,2,2,11,13,9,0,N/A,33,16,11,9,13,49,82
Tunisia,Africa,c,2024,PF,5,3,6,7,3,0,N/A,16,11,7,7,10,35,51
Turkey,Europe,c,2024,NF,5,6,5,8,4,0,N/A,17,5,3,3,5,16,33
Turkmenistan,Eurasia,c,2024,NF,7,7,0,0,0,0,N/A,0,0,0,0,2,2,2
Tuvalu,Asia,c,2024,F,1,1,12,15,10,0,N/A,37,16,12,15,13,56,93
Uganda,Africa,c,2024,NF,6,5,3,4,3,0,N/A,10,9,4,4,7,24,34
Ukraine,Eurasia,c,2024,PF,4,4,9,10,4,2,N/A,21,9,7,4,8,28,49
United Arab Emirates,Middle East,c,2024,NF,7,6,1,2,2,0,N/A,5,4,2,3,4,13,18
United Kingdom,Europe,c,2024,F,1,1,12,16,10,0,N/A,38,14,11,13,15,53,91
United States,Americas,c,2024,F,2,2,10,14,9,0,N/A,33,14,11,11,14,50,83
Uruguay,Americas,c,2024,F,1,1,12,16,12,0,N/A,40,15,12,14,15,56,96
Uzbekistan,Eurasia,c,2024,NF,7,6,1,0,1,0,N/A,2,4,1,1,4,10,12
Vanuatu,Asia,c,2024,F,2,2,10,15,7,0,N/A,32,15,11,13,11,50,82
Venezuela,Americas,c,2024,NF,7,6,0,1,0,0,N/A,1,6,2,1,5,14,15
Vietnam,Asia,c,2024,NF,7,6,0,1,3,0,N/A,4,3,1,4,7,15,19
West Bank,Middle East,t,2024,NF,7,5,1,4,2,3,N/A,4,6,4,3,5,18,22
Western Sahara,Africa,t,2024,NF,7,7,0,0,0,3,N/A,-3,3,0,0,4,7,4
Yemen,Middle East,c,2024,NF,7,6,0,1,0,0,N/A,1,2,3,2,2,9,10
Zambia,Africa,c,2024,PF,4,4,6,11,6,0,N/A,23,8,7,8,8,31,54
Zimbabwe,Africa,c,2024,NF,6,5,3,4,3,0,N/A,10,7,3,2,5,17,27
